Author,Fields
Lucian M. Ionescu,math;math;math;hep-th;math;physics;physics;physics;physics;math
H. Orland,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Joanna Fortuna,cs;astro-ph;astro-ph;astro-ph;astro-ph;hep-th;astro-ph;hep-ex;math;astro-ph
Zhenghan Wang,cond-mat;math;quant-ph;math-ph;math;cond-mat;math;quant-ph;math;math
J. Ludwig,math;math;physics;math;astro-ph;cond-mat;gr-qc;astro-ph;cond-mat;cond-mat
Arbab I. Arbab,astro-ph;astro-ph;astro-ph;physics;astro-ph;astro-ph;astro-ph;gr-qc;physics;physics
Joerg Rothe,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
M. Klein,math;hep-th;hep-ph;math;hep-th;physics;math-ph;hep-lat;quant-ph;math
A. Zucchiatti,physics;physics;physics;physics;nucl-th;nucl-ex;nucl-ex;hep-ex;physics;cond-mat
Mai Suan Li,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;q-bio;cond-mat;cond-mat
Joseph S. B. Mitchell,cs;cs;cs;math;math;math;cs;physics;math;math
J. Brian Conrey,math;math;math;math;math;math;math;math;math;math
Stefano M. Iacus,math;math;math;math;q-fin;math;math;math;math;math
Ou-Yang Zhong-Can,
A. C. Fowler,hep-ph;astro-ph;stat;quant-ph;quant-ph;astro-ph;q-bio;cond-mat;hep-ph;math
F. M. Donini,hep-ph;cs;cs;cs;cs;hep-lat;hep-ph;hep-ph;hep-ph;hep-lat
Tian Lun Chen,nlin;math;math;quant-ph;math;quant-ph;cs;physics;math;cs
Melany Stein,math;physics;math;math;math;math;math;math;math;stat
Jason W. Bates,physics;physics;gr-qc;math;math;math;math;math;gr-qc;astro-ph
Laurent Pujo-Menjouet,math;math;astro-ph;astro-ph;astro-ph;cond-mat;cond-mat;cond-mat;cs;gr-qc
Andrew Kuprat,physics;math;math;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
Tomasz Ciszkowski,cs;cs;astro-ph;astro-ph;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
R. V. N. Melnik,math;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;astro-ph;cond-mat
Patrick Erik Bradley,math;math;math;math;math;math;math;stat;cs;cs
Ib Madsen,math;math;math;math;math;math;math;math;math;math
Prasan Roy,cs;cs;cs;cs;quant-ph;physics;math;cs;quant-ph;quant-ph
V. I. Prisecaru,q-bio;q-bio;astro-ph;math;math;astro-ph;math;math;cs;physics
Yuval Peres,math;math;math;math;math;math;math;math;math;math
T. W. B. Kibble,astro-ph;cond-mat;cond-mat;physics;hep-th;hep-ph;hep-th;astro-ph;astro-ph;hep-th
Z. F. Wang,quant-ph;quant-ph;physics;astro-ph;astro-ph;quant-ph;physics;astro-ph;math;cond-mat
P. W. H. Pinkse,quant-ph;physics;physics;physics;quant-ph;quant-ph;physics;physics;physics;physics
Jeffrey Freschl,cs;gr-qc;gr-qc;gr-qc;math;math;math;math;math;math
Maximilian Ganster,math;math;math;math;math;math;math;hep-th;hep-th;hep-th
A. Dalgarno,math-ph;physics;physics;math-ph;physics;physics;astro-ph;physics;astro-ph;hep-th
Soubhik Chakraborty,cs;stat;stat;cs;cs;cs;cs;cs;cs;cs
Jeffrey M. Rosenfeld,cs;cond-mat;cond-mat;math;math;math;math;gr-qc;math;math
Ioana A. Cosma,stat;stat;stat;math;math-ph;math;math;math;math;math
Guiseppe Tenti,math;nucl-ex;nucl-ex;cond-mat;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex
Attila Ferencz,cs;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;cond-mat;cond-mat;cond-mat;hep-ph
A. T. Yinnon,physics;cond-mat;physics;physics;cond-mat;math;math;hep-ph;gr-qc;math
Mitsuhiro Shishikura,math;math;math;cond-mat;cond-mat;cond-mat;hep-th;math;math;math
Miquel Montero,cond-mat;q-fin;quant-ph;math-ph;physics;q-fin;q-fin;quant-ph;quant-ph;quant-ph
Jen Hom,quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;q-bio;cs
R. Potenza,astro-ph;hep-ex;nucl-ex;hep-ph;nucl-ex;nucl-ex;physics;hep-ex;physics;cond-mat
A. D. Kennedy,hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;math;hep-th;hep-lat
Kevin Lai,cs;math;math-ph;math-ph;cs;astro-ph;cs;cs;cs;cs
Goncalo Carvalho,cs;math;math;math;math;math;math;math;math;math
Asta Pellinen-Wannberg,cond-mat;math;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Edita Pelantova,math;math;math-ph;math;math;math;math;math;math;cs
Olivier Devillers,cs;cs;cs;cs;cs;math;cs;cs;cs;cs
Nawar Al-Hakeem,cs;cs;cs;astro-ph;astro-ph;astro-ph;astro-ph
T. R. Kirkpatrick,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Gilson Antonio Giraldi,cs;cs;cs;cs;cs;physics;cs;cs;cs;cs
Efstratios Manousakis,cond-mat;q-bio;cond-mat;cond-mat;q-bio;cond-mat;cond-mat;q-bio;cond-mat;quant-ph
Martin Weidner,hep-th;econ;hep-th;hep-th;stat;econ;stat;math;math;stat
J. Lygeros,math;stat;math;math;math;math;cs;math;math;q-bio
Salman Habib,cond-mat;hep-th;gr-qc;gr-qc;quant-ph;cond-mat;hep-ph;nlin;cond-mat;physics
Chien-Hung Huang,math;cond-mat;cond-mat;cond-mat;math;math;math;hep-th;math;math
Shige. H. Yoshimura,q-bio;math;math;math;math;math;math;math;math;math
R. Laubenbacher,math;math;math;math;q-bio;cs;q-bio;math;math;cs
O. Gulseren,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Roger T. Hartley,cs;math;hep-ex;astro-ph;math;math;math;math;math;math
Xin Yang,math;math;math;math;math;math;math;hep-th;math;cond-mat
Manuel A. Perez-Quinones,math;math;math;math;cs;cond-mat;quant-ph;cs;math;cs
D. F. Geesaman,nucl-ex;hep-ex;hep-ex;hep-ex;nucl-ex;hep-ex;hep-ph;hep-ex;nucl-ex;nucl-ex
Gert R. G. Lanckriet,cs;stat;cs;stat;cs;stat;cs;cs;stat;cs
H. Saitoh,cond-mat;cond-mat;physics;cond-mat;cond-mat;cond-mat;q-bio;cond-mat;cond-mat;cond-mat
P. Seba,nlin;math-ph;cond-mat;quant-ph;nlin;nlin;cond-mat;physics;cond-mat;cond-mat
Per Bak,cond-mat;astro-ph;cond-mat;nlin;astro-ph;cond-mat;cond-mat;nlin;cond-mat;cond-mat
Robert Kohn,math;physics;math;math;cond-mat;math;stat;math;stat;physics
Herwig Hauser,math;math;math;math;math;math;math;astro-ph;astro-ph;math
Olga Perkovic,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;astro-ph;hep-ph;hep-ph
Ki-Hong Park,cs;physics;cs;cs;astro-ph;math;math-ph;cs;math;math
Leslie Kaelbling,stat;stat;cs;cs;cs;cs;cs;cs;cs;cs
Ursula Kummer,math;math;math;math;math;math;math;math;math;math
Andrew R. Kustin,math;math;math;math;math;math;math;math;math;math
F. Bergadano,cs;cs;cond-mat;cond-mat;physics;physics;physics;physics;physics;quant-ph
Alex Buchel,hep-th;hep-th;hep-th;hep-th;hep-th;hep-th;hep-th;hep-th;hep-th;hep-th
Zoltan Szabo,cs;math;stat;astro-ph;math;math;math;math;math;math
Michael McGuigan,cs;hep-th;hep-th;hep-th;cs;q-bio;hep-th;hep-th;hep-th;hep-th
Mark Forest,math;astro-ph;astro-ph;cs;stat;astro-ph;astro-ph;cs;cs;astro-ph
Noemi Rodriguez,cs;cs;cs;physics;math;math;math;physics;math;math
P. Wyder,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Ophir Flomenbom,physics;cond-mat;cond-mat;cond-mat;cond-mat;q-bio;q-bio;q-bio;cond-mat;q-bio
Alex Fu,eess;astro-ph;astro-ph;astro-ph;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
S. Bilke,hep-lat;hep-lat;hep-th;cond-mat;cond-mat;hep-lat;q-bio;hep-lat;q-bio;hep-lat
M. I. Molina,physics;cond-mat;physics;physics;nlin;cond-mat;physics;physics;nlin;nlin
Eyvind Aker,physics;cond-mat;physics;physics;physics;cond-mat;physics;math;astro-ph;hep-ph
Emil W. Kiss,math;math;math;math;math;math;math;math;cs;math
O. Adelman,math;math;astro-ph;astro-ph;astro-ph;hep-ex;cond-mat;math;cond-mat;cond-mat
H. L. Janwa A. K. Lal,cs;math;hep-ph;hep-ex;hep-ph;hep-ph;astro-ph;cs;cond-mat;physics
D. Keane,hep-ph;cond-mat;quant-ph;cond-mat;cond-mat;hep-ph;astro-ph;cond-mat;astro-ph;cond-mat
Shay Caspi,cond-mat;physics;physics;math;math;math;cs;cs;cs;cs
Joel L. Lebowitz,math-ph;math-ph;cond-mat;cond-mat;cond-mat;physics;math-ph;cond-mat;cond-mat;math
F. Schmid,cond-mat;cond-mat;cond-mat;cond-mat;physics;cond-mat;physics;cond-mat;cond-mat;cond-mat
Marcus Rickert,cs;nlin;cond-mat;cond-mat;cond-mat;cs;cs;cs;cs;cs
Nora Fenyvesi,eess;cond-mat;gr-qc;gr-qc;hep-ph;hep-ph;hep-ph;hep-th;hep-th;math
A. Bovier,cond-mat;cond-mat;math;math;cond-mat;math;cond-mat;cond-mat;cond-mat;q-bio
Z. M. Szalata,physics;physics;physics;nucl-ex;physics;math;math;hep-th;hep-th;hep-th
A. Kuhnert,astro-ph;cond-mat;astro-ph;nucl-ex;astro-ph;gr-qc;cs;math;cs;cs
V. Aquaro,q-fin;physics;hep-ph;math;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
M. L. Ginsberg,cs;cs;cond-mat;cs;cs;cs;cs;cs;cond-mat;cond-mat
Paul J. Dagdigian,physics;physics;cs;math;hep-ph;math;math;cs;hep-ph;hep-ph
Ujjal Ghosal,nlin;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc;physics;gr-qc;gr-qc;gr-qc
Yu-Chu M. Li,astro-ph;astro-ph;astro-ph;physics;cond-mat;math;astro-ph;cond-mat;physics;astro-ph
Friedrich Wagemann,math-ph;math;math-ph;math-ph;math-ph;math;math-ph;math;math;math
B. Berche,physics;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Linfang Shen,physics;physics;cond-mat;cond-mat;physics;cs;physics;math;math;stat
Luis Diambra,nlin;q-bio;cond-mat;astro-ph;astro-ph;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Michael Small,hep-lat;cs;math;math;nlin;q-fin;cond-mat;hep-ex;hep-lat;math
Shai Halevi,cs;cs;astro-ph;astro-ph;astro-ph;quant-ph;cs;cs;cond-mat;math
I. D. Vagner,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;quant-ph;cond-mat;cond-mat;cond-mat
Michael E. Paulaitis,physics;physics;physics;cs;math;math;math;math;cond-mat;math
R. S. Maier,physics;cond-mat;cond-mat;physics;cond-mat;physics;cond-mat;quant-ph;cond-mat;cond-mat
Eric Laugerotte,cs;math;cs;math;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
Oscar Bolina,math;math;physics;physics;physics;physics;physics;physics;physics;physics
W. D. Deering,physics;math;nucl-th;hep-th;physics;hep-th;nucl-th;math;gr-qc;gr-qc
Sastri Kota,cs;cs;cs;cs;cs;cs;cs;stat;cond-mat;cond-mat
Stephan Denkl,q-fin;q-fin;math;math;astro-ph;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Ian Foster,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
Alexander Bockmayr,cs;math;q-bio;q-bio;math;math;math;math;math;math
L. A. Bernstein,math
Markus Luty,hep-th;hep-ph;hep-ph;hep-ph;hep-ph;hep-th;hep-ph;hep-ph;hep-ph;hep-ph
M. Vilches,math;math;physics;physics;physics;math;cs;math;math;math
U. M. Heller,hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat
Costin Miron,cs;cs;cs;math;math;math;math;math;math;math
A. Pelissetto,gr-qc;hep-th;hep-th;cond-mat;cond-mat;cond-mat;hep-lat;cond-mat;cond-mat;hep-lat
H Emre Guven,cs;eess;cond-mat;gr-qc;physics;astro-ph;astro-ph;physics;cs;cs
I. M. Dremin,hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph
Prasanta K. Panigrahi,quant-ph;q-fin;quant-ph;cond-mat;hep-th;quant-ph;quant-ph;quant-ph;quant-ph;cond-mat
Judith P. Armitage,q-bio;math;math;math;stat;stat;stat;math;astro-ph;astro-ph
Paolo Provero,hep-ph;hep-th;hep-lat;hep-th;hep-lat;hep-lat;hep-th;cond-mat;q-bio;q-bio
A. M. Purdon,cond-mat;q-bio;hep-th;math;stat;math;math;math;math;q-bio
Guodong Song,math;stat;math;math;physics;math;math;math;math;math
F. S. Stephens,physics;hep-ph;hep-ph;nucl-ex;hep-ph;hep-ph;hep-ph;hep-ph;hep-th;hep-th
D. Zilbersher,physics;astro-ph;astro-ph;math;math;math;math;math;physics;hep-th
Esther M. Arkin,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
Jandir M. Hickmann,cs;cond-mat;cond-mat;nlin;quant-ph;physics;quant-ph;quant-ph;quant-ph;physics
V. N. Soshnikov,physics;physics;physics;physics;physics;physics;physics;physics;physics;math
Philip Maymin,q-fin;q-fin;q-fin;q-fin;quant-ph;q-fin;q-fin;quant-ph;quant-ph;q-fin
Yingdong Lv,q-fin;math;math;math;q-fin;math;math;math;math;math
J. Withey,cs;astro-ph;cs;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
Willi Jager,math;math;math;physics;physics;math;quant-ph;hep-lat;q-bio;cs
Eric Baird,physics;physics;physics;physics;physics;physics;physics;physics;physics;physics
James Ellis Colliander,math-ph;math;math;math;math;math;math;math;math;math
Alex Pappachen James,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
Rebecca E. Grinter,cs;cs;cs;math;math;stat;physics;math;cs;astro-ph
Seth Hunter,eess;hep-th;math;math;math;math;math;quant-ph;quant-ph;quant-ph
W. D. Evans,cond-mat;math;math;math;math;astro-ph;physics;q-bio;astro-ph;math
D. Henderson,cond-mat;cond-mat;physics;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;physics;astro-ph
Mahmoud Abdelaziz,cs;cs;cs;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph
Z. Caccia,nucl-ex;physics;hep-ph;nucl-ex;nucl-ex;hep-ex;hep-ex;q-fin;cond-mat;hep-ph
Oded Schramm,math;math;math;math;math;math;math;math;math;math
Warren D. Smith,math;cs;astro-ph;math;cs;cs;math;math;math;cs
K. Smith,physics;math;cs;astro-ph;math-ph;cond-mat;astro-ph;cs;cs;cond-mat
Toshinao Akuzawa,cs;hep-th;cs;cond-mat;cond-mat;q-bio
Guruduth Banavar,cs;cond-mat;cond-mat;q-bio;q-bio;cs;q-bio;cond-mat;cond-mat;cond-mat
Raymond Devillers,cs;cs;gr-qc;hep-ph;hep-th;hep-th;hep-th;math;math;math
A. Kononovicius,q-fin;physics;cond-mat;physics;physics;q-fin;q-fin;q-fin;q-fin;q-fin
J. E. Draper,math;nucl-ex;physics;math;astro-ph;nucl-ex;hep-lat;astro-ph;astro-ph;astro-ph
J. C. Schlimmer,cs;cs;physics;math;cond-mat;hep-ex;astro-ph;math;math;cond-mat
G. N. Throumoulopoulos,physics;physics;physics;physics;physics;physics;physics;physics;physics;physics
Wenzheng Xie,math;cs;cs;cs;quant-ph;cs;cs;cs;cond-mat;cs
Ninan Sajeeth Philip,cs;cs;cs;cs;cs;astro-ph;cs;astro-ph;astro-ph;astro-ph
A. Cappi,astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
J. Onuchic,physics;cond-mat;cond-mat;physics;q-bio;cond-mat;cond-mat;q-bio;math;cond-mat
Jan Struyf,cs;math;math;math;astro-ph;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Wolfgang Wenzel,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;astro-ph;cond-mat;cond-mat;cond-mat;cond-mat
Carsten Peterson,stat;q-bio;physics;physics;math;math;physics;cond-mat;cs;physics
C. Riccardi,astro-ph;q-fin;hep-ex;hep-ph;astro-ph;cond-mat;physics;astro-ph;astro-ph;physics
H. Ruegg,hep-ph;physics;hep-th;cond-mat;cond-mat;hep-th;cond-mat;cond-mat;cond-mat;cond-mat
Jeff Moehlis,nlin;physics;stat;cond-mat;math;cs;astro-ph;cs;cs;cs
Stefan Boettcher,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;quant-ph;cond-mat;cond-mat;cond-mat;physics
Shihab A. Shamma,q-bio;q-bio;cs;physics;q-bio;cs;physics;physics;physics;physics
Heinz Amenitsch,physics;physics;physics;physics;physics;physics;astro-ph;astro-ph;astro-ph;cond-mat
M. Lindroos,astro-ph;physics;hep-ph;cond-mat;physics;physics;hep-ph;cond-mat;hep-ph;astro-ph
A. Linde,hep-ph;math;math;hep-th;hep-ph;cond-mat;astro-ph;hep-ph;physics;hep-ph
I. G. Bearden,nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex
P. Levi Sandri,physics;nucl-th;astro-ph;hep-ex;hep-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;hep-ex
H. J. Haubold,math;physics;math;cond-mat;physics;physics;physics;astro-ph;cond-mat;physics
E. R. Kinney,nucl-ex;nucl-ex;hep-ex;nucl-ex;astro-ph;astro-ph;nucl-ex;astro-ph;nucl-ex;astro-ph
R. Kantowski,astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;hep-th;hep-th;hep-th
R. Simon,hep-th;math-ph;hep-th;hep-th;hep-ph;hep-th;gr-qc;hep-th;quant-ph;cond-mat
Normand Mousseau,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Stephen Vavasis,cs;math;math;cs;math;math;cs;cs;math;cs
Fritz Gesztesy,math;nlin;math;nlin;nlin;nlin;nlin;math;math;math
E. M. Chirka,math;math;math;math;math;math;math;math;cond-mat;math
H. J. Schulz,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;astro-ph;cond-mat;cond-mat
L. Pietronero,cond-mat;cond-mat;cond-mat;astro-ph;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Raju Pandey,cs;hep-ph;hep-ph;hep-ph;hep-ph;hep-th;hep-th;hep-th;hep-th;hep-th
R. Bijker,nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th
V. I. Verbitskii,physics;astro-ph;math;math;astro-ph;math;math;cs;physics;hep-ph
Michel Peyrard,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;physics
M. Spengos,nucl-ex;math;math;astro-ph;astro-ph;astro-ph;cond-mat;cond-mat;cs;gr-qc
Emmanuel Etievent,cs;math;cs;cond-mat;cond-mat;cond-mat;hep-th;hep-th;hep-th;math
Yiping Dou,stat;math;math;math;math;math;cs;stat;math;astro-ph
Sandhya Tewari,q-bio;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;cs;cs;math
Paul Anderson,math;gr-qc;gr-qc;math;cs;gr-qc;cond-mat;gr-qc;gr-qc;gr-qc
Akimichi Takemura,math;math;math;math;cs;math;math;math;math;q-fin
E. Batista,cond-mat;cond-mat;cond-mat;gr-qc;cond-mat;cond-mat;math;cond-mat;nlin;gr-qc
T. F. Wang,cond-mat;quant-ph;math;quant-ph;cond-mat;quant-ph;cond-mat;cond-mat;cond-mat;cond-mat
Christof M. Aegerter,q-bio;cond-mat;cond-mat;cs;cond-mat;cond-mat;cond-mat;hep-lat;cond-mat;astro-ph
Eduardo D. Sontag,math;q-bio;math;math;math;math;math;q-bio;q-bio;math
Hendrik Blockeel,cs;cs;cs;cs;stat;stat;cs;stat;stat;cs
E. Michael Gertz,cs;q-bio;cs;cond-mat;math;physics;physics;physics;physics;hep-ph
J. W. Moffat,astro-ph;gr-qc;astro-ph;hep-ph;astro-ph;astro-ph;astro-ph;hep-th;astro-ph;astro-ph
T. Kephart,hep-ph;hep-th;hep-ph;hep-ph;hep-ph;hep-th;physics;astro-ph;astro-ph;astro-ph
Alice Silverberg,math;math;math;math;math;math;math;math;math;math
Anders Pettersson,cs;physics;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;hep-ph;hep-ph;hep-th
Stefano Arteconi,cs;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;cond-mat;cond-mat;cond-mat;math
Y. Georgelin,cond-mat;cond-mat;gr-qc;cond-mat;cond-mat;cond-mat;math;math;cond-mat;physics
Carroll Guillory,math;math;math;math;gr-qc;gr-qc;gr-qc;math;math;math
Guilhem Coq,cond-mat
Shuojun Li,physics;cond-mat;cs;math;cond-mat;cond-mat;nucl-th;math;astro-ph;cond-mat
C. C. Briggs,gr-qc;gr-qc;math;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc
Shurong Zheng,math;math;stat;math;stat;math;math;stat;math;math
G. A. Enciso,q-bio;q-bio;cond-mat;hep-th;math-ph;math;math;math;math;nlin
F. A. Shillington,physics;physics;cond-mat;astro-ph;astro-ph;hep-ex;physics;physics;gr-qc;astro-ph
J. P. Carbotte,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Richard R. Silbar,nucl-th;nucl-th;nucl-th;physics;physics;cond-mat;nucl-th;cond-mat;cond-mat;hep-ph
Jaap-Henk Hoepman,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
J. C. Zapata,cond-mat;math;cond-mat;cond-mat;physics;astro-ph;cond-mat;hep-ph;q-bio;astro-ph
Shinya Watanabe,physics;hep-ph;cond-mat;physics;cond-mat;nlin;cond-mat;astro-ph;hep-ph;hep-ph
Ming Xu,math;math;math;math;math;math;math;math;math;math
Matthew Miller,math;physics;stat;astro-ph;nucl-th;math;math;math;math;nucl-th
Alper Gungor,hep-ph;math;math;math;math;math;math;math;nlin;math
Maksim Sakki,q-fin;cond-mat;math;math;cond-mat;math;cs;math;cond-mat;math
Jaan Kalda,cond-mat;physics;cond-mat;physics;cond-mat;cond-mat;physics;cond-mat;q-fin;physics
Adriana Iamnitchi,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
R. Holman,hep-th;astro-ph;hep-ph;hep-ph;hep-ph;hep-th;hep-ph;hep-th;hep-th;hep-th
Roman Samulyak,physics;physics;math;physics;math;math;math;math-ph;nlin;math
C. Schaerf,physics;nucl-ex;hep-ex;hep-ex;nucl-ex;astro-ph;nucl-ex;hep-ex;nucl-ex;hep-ex
J. Sonnenschein,hep-th;hep-th;hep-th;hep-th;hep-th;hep-th;hep-th;hep-th;hep-th;hep-th
Reinhard Rapp,cs;cs;cs;astro-ph;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc
C. N. Davids,nucl-th;math;math;cond-mat;math;hep-ph;math;cond-mat;cond-mat;math
A. Symeonidis,astro-ph;astro-ph;cs;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
G. C. Ball,math-ph;math;cond-mat;math;cond-mat;math;astro-ph;math;math-ph;cond-mat
Xin Zhou,math;math;math;math;math;math;cond-mat;math;math;math
A. LeCLair,hep-th;hep-th;hep-th;hep-th;hep-th;hep-th;hep-th;hep-th;hep-th;hep-th
David B. Saakian,q-fin;cond-mat;cond-mat;cond-mat;q-bio;cond-mat;cond-mat;cond-mat;q-bio;q-bio
Noam Elkies,math;math;math;math;math;math;math;math;math;math
Alina Andreica,cs;cond-mat;math;math;math;math;math;math;quant-ph;math
A. G. Makeev,nlin;nucl-ex;cond-mat;nucl-ex;nucl-ex;nucl-ex;cond-mat;physics;q-bio;cond-mat
S. Das Sarma,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
F. Perez-Bernal,physics;cond-mat;cond-mat;physics;physics;physics;physics;physics;quant-ph;nucl-th
Yeong-Shyeong Tsai,math;math;math;physics;cs;cond-mat;math;math;math;math
M. N. Quevedo,q-fin;gr-qc;gr-qc;hep-th;cond-mat;hep-th;hep-th;gr-qc;physics;hep-ph
Rob Phillips,q-bio;q-bio;q-bio;q-bio;q-bio;cond-mat;cond-mat;cs;q-bio;physics
Berengere Abou,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;physics;physics;cond-mat;cond-mat
Lois Curfman McInnes,physics;cs;cs;cs;physics;math-ph;cs;math-ph;cs;cs
Chunlei Zhang,cs;math;math;cond-mat;cond-mat;quant-ph;cs;quant-ph;cond-mat;cond-mat
H. Terada,astro-ph;q-bio;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;nucl-ex;astro-ph
M. Marzolla,cs;hep-th;cs;cs;hep-th;hep-th;cs;cs;cs;hep-th
R. Gallego,hep-th;nlin;nlin;cond-mat;cond-mat;astro-ph;hep-th;astro-ph;quant-ph;quant-ph
A. Weron,astro-ph;math;physics;cond-mat;cond-mat;q-fin;cond-mat;cond-mat;cond-mat;cond-mat
G. Chastek,cs;cs;astro-ph;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
L. A. Hermens,cs;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;cs;quant-ph;cond-mat
F. Dietrich,cond-mat;cond-mat;cond-mat;cond-mat;physics;physics;cond-mat;q-bio;cond-mat;cond-mat
Steven Boyer,math;math;math;math;math;math;math;math;math;math
I. I. Trifonova,q-bio;q-bio;hep-ph;cond-mat;hep-ph;astro-ph;hep-ph;hep-ph;hep-ph;cond-mat
Olivier Dubois,cs;cs;cs;math;math;math;math;math;math;math
Lino Notarantonio,math;math;math;hep-ex;hep-ex;hep-ex;hep-ex;hep-ex;math;math
Zhengyu Yang,nucl-th;math;math;math;cs;math;math;cond-mat;eess;physics
James A. Hoagland,cs;cs;gr-qc;math;math;math;gr-qc;gr-qc;math;math
D. H. Potterveld,nucl-ex;physics;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex
Ingemar Haggstrom,physics;gr-qc;gr-qc;gr-qc;gr-qc;quant-ph;quant-ph;quant-ph;quant-ph;gr-qc
J. Tinka Gammel,physics;cond-mat;hep-ph;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Nelsons A. Alves,hep-lat;math;math;astro-ph;hep-ex;math;math;astro-ph;astro-ph;math
Sonia Fahmy,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
Peter D. Olmsted,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
